2,0,140.0,-28.4,316.6,426.2,0.532,16.1,16.2,0.0,0
2,5,140.0,-20.3,316.6,422.1,0.528,409.5,0.0,0.0,0
2,10,139.9,4.1,361.2,422.1,0.556,397.2,0.0,0.0,0
2,15,139.9,-40.6,304.4,409.9,0.512,373.4,0.0,12.2,0
2,20,139.9,-12.2,312.5,418.1,0.522,370.1,0.0,12.2,0
2,25,139.9,-12.2,312.5,405.9,0.512,347.2,0.0,16.2,0
2,30,139.9,0.0,345.0,405.9,0.533,336.8,0.0,16.2,0
2,35,139.8,-16.2,292.2,414.0,0.507,334.6,0.0,16.2,0
2,40,139.8,-28.4,280.1,434.3,0.518,344.2,0.0,28.4,0
2,45,139.8,-28.4,304.4,414.0,0.515,314.2,0.0,28.4,0
2,50,139.8,-4.1,304.4,414.0,0.514,304.8,0.0,28.4,0
2,55,139.7,-4.1,308.5,414.0,0.516,295.6,8.1,28.4,0
2,60,139.7,8.1,263.8,422.1,0.498,294.6,0.0,28.4,0
2,65,139.7,20.3,296.3,422.1,0.516,285.8,12.2,28.4,0
2,70,139.6,20.3,271.9,426.2,0.506,281.2,8.1,28.4,0
2,75,139.6,-4.1,271.9,418.1,0.499,264.8,12.2,28.4,0
2,80,139.6,12.2,284.1,418.1,0.506,256.9,12.2,28.4,0
2,85,139.6,-36.5,300.4,422.1,0.519,253.1,8.1,28.4,0
2,90,139.6,-8.1,308.5,414.0,0.516,237.7,20.3,28.4,0
2,95,139.5,-8.1,312.5,418.1,0.522,234.5,4.1,28.4,0
2,100,139.5,-4.1,312.5,450.5,0.548,258.9,36.5,44.6,0
2,105,139.5,0.0,280.1,450.5,0.530,251.2,36.5,44.6,0
2,110,139.4,-16.2,292.2,434.3,0.524,227.9,12.2,44.6,0
2,115,139.4,-16.2,276.0,434.3,0.515,221.0,12.2,44.6,0
2,120,139.4,-16.2,312.5,426.2,0.529,206.5,0.0,44.6,0
2,125,139.4,-52.8,312.5,426.2,0.531,200.3,8.1,44.6,0
2,130,139.4,4.1,296.3,426.2,0.519,194.3,8.1,44.6,0
2,135,139.3,-20.3,255.7,442.4,0.511,204.3,20.3,44.6,0
2,140,139.3,-44.6,276.0,462.7,0.541,217.8,48.7,56.8,0
2,145,139.3,-44.6,296.3,442.4,0.534,191.6,24.4,56.8,0
2,150,139.3,-16.2,296.3,442.4,0.533,185.8,8.1,56.8,0
2,155,139.2,-32.5,296.3,446.5,0.537,184.2,4.1,56.8,0
2,160,139.2,-28.4,308.5,442.4,0.540,174.7,8.1,56.8,0
2,165,139.2,8.1,280.1,430.2,0.513,157.7,4.1,56.8,0
2,170,139.1,8.1,280.1,458.6,0.537,180.5,32.5,56.8,0
2,175,139.1,-12.2,271.9,458.6,0.533,175.1,32.5,56.8,0
2,180,139.1,-16.2,288.2,409.9,0.501,122.6,16.2,56.8,0
2,185,139.1,-12.2,247.6,454.6,0.518,162.2,12.2,56.8,0
2,190,139.1,-12.2,280.1,458.6,0.538,161.3,4.1,56.8,0
2,195,139.0,-32.5,280.1,454.6,0.535,152.5,12.2,56.8,0
2,200,139.0,-8.1,300.4,454.6,0.545,147.9,12.2,56.8,0
2,205,139.0,8.1,316.6,446.5,0.547,135.6,0.0,56.8,0
2,210,138.9,-16.2,259.8,442.4,0.513,127.6,0.0,56.8,0
2,215,138.9,-16.2,288.2,446.5,0.532,127.7,16.2,56.8,0
2,220,138.9,-8.1,288.2,442.4,0.528,120.0,16.2,56.8,0
2,225,138.9,-4.1,280.1,442.4,0.524,116.4,16.2,56.8,0
2,230,138.9,-16.2,251.6,446.5,0.513,116.8,36.5,56.8,0
2,235,138.8,-32.5,251.6,458.6,0.524,125.1,4.1,56.8,0
2,240,138.8,-32.5,267.9,466.8,0.539,129.2,8.1,60.9,0
2,245,138.8,-16.2,267.9,466.8,0.538,125.4,12.2,60.9,0
2,250,138.8,-8.1,276.0,466.8,0.542,121.6,12.2,60.9,0
2,255,138.7,-24.4,267.9,462.7,0.535,114.0,16.2,60.9,0
2,260,138.7,0.0,239.5,474.9,0.532,122.4,32.5,69.0,0
2,265,138.7,0.0,247.6,462.7,0.525,106.9,16.2,69.0,0
2,270,138.6,0.0,247.6,454.6,0.518,95.8,12.2,69.0,0
2,275,138.6,-20.3,267.9,454.6,0.528,93.0,12.2,69.0,0
2,280,138.6,-4.1,251.6,446.5,0.513,82.3,0.0,69.0,0
2,285,138.6,-12.2,267.9,426.2,0.504,60.2,32.5,69.0,0
2,290,138.6,-12.2,276.0,466.8,0.542,97.7,0.0,69.0,0
2,295,138.5,-48.7,276.0,454.6,0.534,83.0,12.2,69.0,0
2,300,138.5,16.2,284.1,454.6,0.536,80.5,12.2,69.0,0
2,305,138.5,-4.1,271.9,450.5,0.526,74.1,12.2,69.0,0
2,310,138.4,-16.2,251.6,470.8,0.534,91.6,4.1,69.0,0
2,315,138.4,-16.2,223.2,483.0,0.532,100.7,20.3,77.1,0
2,320,138.4,0.0,223.2,483.0,0.532,97.6,28.4,77.1,0
2,325,138.4,4.1,243.5,487.1,0.545,98.6,32.5,81.2,0
2,330,138.4,-24.4,271.9,491.1,0.562,99.6,44.6,85.2,0
2,335,138.3,4.1,247.6,450.5,0.514,57.3,24.4,85.2,0
2,340,138.3,4.1,247.6,462.7,0.525,67.4,4.1,85.2,0
2,345,138.3,-20.3,227.3,462.7,0.516,65.3,8.1,85.2,0
2,350,138.3,4.1,255.7,462.7,0.529,63.4,8.1,85.2,0
2,355,138.2,-12.2,276.0,454.6,0.532,53.6,4.1,85.2,0
2,360,138.2,-36.5,247.6,442.4,0.508,40.2,28.4,85.2,0
2,365,138.2,-36.5,247.6,462.7,0.526,58.7,20.3,85.2,0
2,370,138.1,0.0,271.9,462.7,0.537,56.9,20.3,85.2,0
2,375,138.1,-24.4,251.6,474.9,0.538,67.0,12.2,85.2,0
2,380,138.1,-20.3,207.0,466.8,0.511,57.1,24.4,85.2,0
2,385,138.1,-20.3,247.6,491.1,0.550,79.0,40.6,85.2,0
2,390,138.1,-20.3,247.6,487.1,0.547,72.7,24.4,85.2,0
2,395,138.0,16.2,202.9,487.1,0.528,70.5,24.4,85.2,0
2,400,138.0,4.1,255.7,478.9,0.543,60.6,16.2,85.2,0
2,405,138.0,-12.2,255.7,487.1,0.550,66.6,32.5,85.2,0
2,410,137.9,-12.2,227.3,478.9,0.530,56.7,36.5,85.2,0
2,415,137.9,4.1,227.3,462.7,0.516,39.3,0.0,85.2,0
2,420,137.9,-8.1,239.5,462.7,0.521,38.1,0.0,85.2,0
2,425,137.9,-16.2,231.4,491.1,0.543,64.5,16.2,85.2,0
2,430,137.9,-4.1,215.1,458.6,0.507,31.1,8.1,85.2,0
2,435,137.8,-4.1,190.8,462.7,0.501,34.1,28.4,85.2,0
2,440,137.8,-28.4,190.8,470.8,0.509,40.9,16.2,85.2,0
2,445,137.8,-20.3,227.3,470.8,0.523,39.7,16.2,85.2,0
2,450,137.8,-20.3,223.2,487.1,0.536,54.3,8.1,85.2,0
2,455,137.7,-8.1,231.4,470.8,0.525,36.9,16.2,85.2,0
2,460,137.7,-8.1,239.5,487.1,0.543,51.5,8.1,85.2,0
2,465,137.7,-4.1,239.5,503.3,0.557,65.7,40.6,97.4,0
2,470,137.6,-44.6,231.4,503.3,0.556,63.8,40.6,97.4,0
2,475,137.6,-8.1,223.2,458.6,0.510,18.5,32.5,97.4,0
2,480,137.6,-16.2,255.7,466.8,0.532,25.9,8.1,97.4,0
2,485,137.6,-16.2,211.1,466.8,0.513,25.1,4.1,97.4,0
